ATCCode,Name,ATC_length,upperBound
A02BD03,lansoprazole amoxicillin and metronidazole,7,105
A02BD04,pantoprazole amoxicillin and clarithromycin,7,106
A02BD05,omeprazole amoxicillin and clarithromycin,7,107
A02BD06,esomeprazole amoxicillin and clarithromycin,7,108
A02BD07,lansoprazole amoxicillin and clarithromycin,7,109
A02BD08,bismuth subcitrate tetracycline and metronidazole,7,110
A02BX,other drugs for peptic ulcer and gastrooesophageal reflux disease gord,5,127
A02BX01,carbenoxolone,7,112
A02BX02,sucralfate,7,113
A02BX03,pirenzepine,7,114
A02BX04,methiosulfonium chloride,7,115
A02BX05,bismuth subcitrate,7,116
A02BX06,proglumide,7,117
A02BX07,gefarnate,7,118
A02BX08,sulglicotide,7,119
A02BX09,acetoxolone,7,120
A02BX10,zolimidine,7,121
A02BX11,troxipide,7,122
A02BX12,bismuth subnitrate,7,123
A02BX13,alginic acid,7,124
A02BX51,carbenoxolone combinations excl psycholeptics,7,125
A02BX71,carbenoxolone combinations with psycholeptics,7,126
A02BX77,gefarnate combinations with psycholeptics,7,127
A02X,other drugs for acid related disorders,4,128
A03,drugs for functional gastrointestinal disorders,3,242
A03A,drugs for functional gastrointestinal disorders,4,189
A03AA,synthetic anticholinergics esters with tertiary amino group,5,140
A03AA01,oxyphencyclimine,7,132
A03AA03,camylofin,7,133
A03AA04,mebeverine,7,134
A03AA05,trimebutine,7,135
A03AA06,rociverine,7,136
A03AA07,dicycloverine,7,137
A03AA08,dihexyverine,7,138
A03AA09,difemerine,7,139
A03AA30,piperidolate,7,140
A03AB,synthetic anticholinergics quaternary ammonium compounds,5,162
A03AB01,benzilone,7,142
A03AB02,glycopyrronium bromide,7,143
A03AB03,oxyphenonium,7,144
A03AB04,penthienate,7,145
A03AB05,propantheline,7,146
A03AB06,otilonium bromide,7,147
A03AB07,methantheline,7,148
A03AB08,tridihexethyl,7,149
A03AB09,isopropamide,7,150
A03AB10,hexocyclium,7,151
A03AB11,poldine,7,152
A03AB12,mepenzolate,7,153
A03AB13,bevonium,7,154
A03AB14,pipenzolate,7,155
A03AB15,diphemanil,7,156
A03AB16,2benzhydryloxyethyldiethylmethylammonium iodide,7,157
A03AB17,tiemonium iodide,7,158
A03AB18,prifinium bromide,7,159
A03AB19,timepidium bromide,7,160
A03AB21,fenpiverinium,7,161
A03AB53,oxyphenonium combinations,7,162
A03AC,synthetic antispasmodics amides with tertiary amines,5,166
A03AC02,dimethylaminopropionylphenothiazine,7,164
A03AC04,nicofetamide,7,165
A03AC05,tiropramide,7,166
A03AD,papaverine and derivatives,5,170
A03AD01,papaverine,7,168
A03AD02,drotaverine,7,169
A03AD30,moxaverine,7,170
A03AE,serotonin receptor antagonists,5,173
A03AE01,alosetron,7,172
A03AE03,cilansetron,7,173
A03AX,other drugs for functional gastrointestinal disorders,5,189
A03AX01,fenpiprane,7,175
A03AX02,diisopromine,7,176
A03AX03,chlorbenzoxamine,7,177
A03AX04,pinaverium,7,178
A03AX05,fenoverine,7,179
A03AX06,idanpramine,7,180
A03AX07,proxazole,7,181
A03AX08,alverine,7,182
A03AX09,trepibutone,7,183
A03AX10,isometheptene,7,184
A03AX11,caroverine,7,185
A03AX12,phloroglucinol,7,186
A03AX13,silicones,7,187
A03AX30,trimethyldiphenylpropylamine,7,188
A03AX58,alverine combinations,7,189
A03B,belladonna and derivatives plain,4,200
A03BA,belladonna alkaloids tertiary amines,5,194
A03BA01,atropine,7,192
A03BA03,hyoscyamine,7,193
A03BA04,belladonna total alkaloids,7,194
A03BB,belladonna alkaloids semisynthetic quaternary ammonium compounds,5,200
A03BB01,butylscopolamine,7,196
A03BB02,methylatropine,7,197
A03BB03,methylscopolamine,7,198
A03BB04,fentonium,7,199
A03BB05,cimetropium bromide,7,200
A03C,antispasmodics in combination with psycholeptics,4,219
A03CA,synthetic anticholinergic agents in combination with psycholeptics,5,212
A03CA01,isopropamide and psycholeptics,7,203
A03CA02,clidinium and psycholeptics,7,204
A03CA03,oxyphencyclimine and psycholeptics,7,205
A03CA04,otilonium bromide and psycholeptics,7,206
A03CA05,glycopyrronium bromide and psycholeptics,7,207
A03CA06,bevonium and psycholeptics,7,208
A03CA07,ambutonium and psycholeptics,7,209
A03CA08,diphemanil and psycholeptics,7,210
A03CA30,emepronium and psycholeptics,7,211
A03CA34,propantheline and psycholeptics,7,212
A03CB,belladonna and derivatives in combination with psycholeptics,5,218
A03CB01,methylscopolamine and psycholeptics,7,214
A03CB02,belladonna total alkaloids and psycholeptics,7,215
A03CB03,atropine and psycholeptics,7,216
A03CB04,methylhomatropine and psycholeptics,7,217
A03CB31,hyoscyamine and psycholeptics,7,218
A03CC,other antispasmodics in combination with psycholeptics,5,219
A03D,antispasmodics in combination with analgesics,4,231
A03DA,synthetic anticholinergic agents in combination with analgesics,5,228
A03DA01,tropenzilone and analgesics,7,222
A03DA02,pitofenone and analgesics,7,223
A03DA03,bevonium and analgesics,7,224
A03DA04,ciclonium and analgesics,7,225
A03DA05,camylofin and analgesics,7,226
A03DA06,trospium and analgesics,7,227
A03DA07,tiemonium iodide and analgesics,7,228
A03DB,belladonna and derivatives in combination with analgesics,5,230
A03DB04,butylscopolamine and analgesics,7,230
A03DC,other antispasmodics in combination with analgesics,5,231
A03E,antispasmodics and anticholinergics in combination with other drugs,4,234
A03EA,antispasmodics psycholeptics and analgesics in combination,5,233
A03ED,antispasmodics in combination with other drugs,5,234
A03F,propulsives,4,242
A03FA,propulsives,5,242
A03FA01,metoclopramide,7,237
A03FA02,cisapride,7,238
A03FA03,domperidone,7,239
A03FA04,bromopride,7,240
A03FA05,alizapride,7,241
A03FA06,clebopride,7,242
A04,antiemetics and antinauseants,3,261
A04A,antiemetics and antinauseants,4,261
A04AA,serotonin 5ht3 antagonists,5,250
A04AA01,ondansetron,7,246
A04AA02,granisetron,7,247
A04AA03,tropisetron,7,248
A04AA04,dolasetron,7,249
A04AA05,palonosetron,7,250
A04AD,other antiemetics,5,261
A04AD01,scopolamine,7,252
A04AD02,cerium oxalate,7,253
A04AD04,chlorobutanol,7,254
A04AD05,metopimazine,7,255
A04AD10,dronabinol,7,256
A04AD11,nabilone,7,257
A04AD12,aprepitant,7,258
A04AD13,casopitant,7,259
A04AD51,scopolamine combinations,7,260
A04AD54,chlorobutanol combinations,7,261
A05,bile and liver therapy,3,283
A05A,bile therapy,4,273
A05AA,bile acid preparations,5,267
A05AA01,chenodeoxycholic acid,7,265
A05AA02,ursodeoxycholic acid,7,266
A05AA03,cholic acid,7,267
A05AB,preparations for biliary tract therapy,5,269
A05AB01,nicotinyl methylamide,7,269
A05AX,other drugs for bile therapy,5,273
A05AX01,piprozolin,7,271
A05AX02,hymecromone,7,272
A05AX03,cyclobutyrol,7,273
A05B,liver therapy lipotropics,4,282
A05BA,liver therapy,5,282
A05BA01,arginine glutamate,7,276
A05BA03,silymarin,7,277
A05BA04,citiolone,7,278
A05BA05,epomediol,7,279
A05BA06,ornithine oxoglurate,7,280
A05BA07,tidiacic arginine,7,281
A05BA08,glycyrrhizic acid,7,282
A05C,drugs for bile therapy and lipotropics in combination,4,283
A06,drugs for constipation,3,356
A06A,drugs for constipation,4,356
A06AA,softeners emollients,5,289
A06AA01,liquid paraffin,7,287
A06AA02,docusate sodium,7,288
A06AA51,liquid paraffin combinations,7,289
A06AB,contact laxatives,5,306
A06AB01,oxyphenisatine,7,291
A06AB02,bisacodyl,7,292
A06AB03,dantron,7,293
A06AB04,phenolphthalein,7,294
A06AB05,castor oil,7,295
A06AB06,senna glycosides,7,296
A06AB07,cascara,7,297
A06AB08,sodium picosulfate,7,298
A06AB09,bisoxatin,7,299
A06AB20,contact laxatives in combination,7,300
A06AB30,contact laxatives in combination with belladonna alkaloids,7,301
A06AB52,bisacodyl combinations,7,302
A06AB53,dantron combinations,7,303
A06AB56,senna glycosides combinations,7,304
A06AB57,cascara combinations,7,305
A06AB58,sodium picosulfate combinations,7,306
A06AC,bulkforming laxatives,5,317
A06AC01,ispaghula psylla seeds,7,308
A06AC02,ethulose,7,309
A06AC03,sterculia,7,310
A06AC05,linseed,7,311
A06AC06,methylcellulose,7,312
A06AC07,triticum wheat fibre,7,313
A06AC08,polycarbophil calcium,7,314
A06AC51,ispaghula combinations,7,315
A06AC53,sterculia combinations,7,316
A06AC55,linseed combinations,7,317
A06AD,osmotically acting laxatives,5,335
A06AD01,magnesium carbonate,7,319
A06AD02,magnesium oxide,7,320
A06AD03,magnesium peroxide,7,321
A06AD04,magnesium sulfate,7,322
A06AD10,mineral salts in combination,7,323
A06AD11,lactulose,7,324
A06AD12,lactitol,7,325
A06AD13,sodium sulfate,7,326
A06AD14,pentaerithrityl,7,327
A06AD15,macrogol,7,328
A06AD16,mannitol,7,329
A06AD17,sodium phosphate,7,330
A06AD18,sorbitol,7,331
A06AD19,magnesium citrate,7,332
A06AD21,sodium tartrate,7,333
A06AD61,lactulose combinations,7,334
A06AD65,macrogol combinations,7,335
A06AG,enemas,5,345
A06AG01,sodium phosphate,7,337
A06AG02,bisacodyl,7,338
A06AG03,dantron incl combinations,7,339
A06AG04,glycerol,7,340
A06AG06,oil,7,341
A06AG07,sorbitol,7,342
A06AG10,docusate sodium incl combinations,7,343
A06AG11,laurilsulfate incl combinations,7,344
A06AG20,combinations,7,345
A06AH,peripheral opioid receptor antagonists,5,349
A06AH01,methylnaltrexone bromide,7,347
A06AH02,alvimopan,7,348
A06AH03,naloxegol,7,349
A06AX,other drugs for constipation,5,356
A06AX01,glycerol,7,351
A06AX02,carbon dioxide producing drugs,7,352
A06AX03,lubiprostone,7,353
A06AX04,linaclotide,7,354
A06AX05,prucalopride,7,355
A06AX06,tegaserod,7,356
A07,antidiarrheals intestinal antiinflammatoryantiinfective agents,3,436
A07A,intestinal antiinfectives,4,384
A07AA,antibiotics,5,373
A07AA01,neomycin,7,360
A07AA02,nystatin,7,361
A07AA03,natamycin,7,362
A07AA04,streptomycin,7,363
A07AA05,polymyxin b,7,364
A07AA06,paromomycin,7,365
A07AA07,amphotericin b,7,366
A07AA08,kanamycin,7,367
A07AA09,vancomycin,7,368
A07AA10,colistin,7,369
A07AA11,rifaximin,7,370
A07AA12,fidaxomicin,7,371
A07AA51,neomycin combinations,7,372
A07AA54,streptomycin combinations,7,373
A07AB,sulfonamides,5,377
A07AB02,phthalylsulfathiazole,7,375
A07AB03,sulfaguanidine,7,376
A07AB04,succinylsulfathiazole,7,377
A07AC,imidazole derivatives,5,379
A07AC01,miconazole,7,379
A07AX,other intestinal antiinfectives,5,384
A07AX01,broxyquinoline,7,381
A07AX02,acetarsol,7,382
A07AX03,nifuroxazide,7,383
A07AX04,nifurzide,7,384
A07B,intestinal adsorbents,4,397
A07BA,charcoal preparations,5,388
A07BA01,medicinal charcoal,7,387
A07BA51,medicinal charcoal combinations,7,388
A07BB,bismuth preparations,5,389
A07BC,other intestinal adsorbents,5,397
A07BC01,pectin,7,391
A07BC02,kaolin,7,392
A07BC03,crospovidone,7,393
A07BC04,attapulgite,7,394
A07BC05,diosmectite,7,395
A07BC30,combinations,7,396
A07BC54,attapulgite combinations,7,397
A07C,electrolytes with carbohydrates,4,399
A07CA,oral rehydration salt formulations,5,399
A07D,antipropulsives,4,408
A07DA,antipropulsives,5,408
A07DA01,diphenoxylate,7,402
A07DA02,opium,7,403
A07DA03,loperamide,7,404
A07DA04,difenoxin,7,405
A07DA05,loperamide oxide,7,406
A07DA52,morphine combinations,7,407
A07DA53,loperamide combinations,7,408
A07E,intestinal antiinflammatory agents,4,424
A07EA,corticosteroids acting locally,5,417
A07EA01,prednisolone,7,411
A07EA02,hydrocortisone,7,412
A07EA03,prednisone,7,413
A07EA04,betamethasone,7,414
A07EA05,tixocortol,7,415
A07EA06,budesonide,7,416
A07EA07,beclometasone,7,417
A07EB,antiallergic agents excl corticosteroids,5,419
A07EB01,cromoglicic acid,7,419
A07EC,aminosalicylic acid and similar agents,5,424
A07EC01,sulfasalazine,7,421
A07EC02,mesalazine,7,422
A07EC03,olsalazine,7,423
A07EC04,balsalazide,7,424
A07F,antidiarrheal microorganisms,4,429
A07FA,antidiarrheal microorganisms,5,429
A07FA01,lactic acid producing organisms,7,427
A07FA02,saccharomyces boulardii,7,428
A07FA51,lactic acid producing organisms combinations,7,429
A07X,other antidiarrheals,4,436
A07XA,other antidiarrheals,5,436
A07XA01,albumin tannate,7,432
A07XA02,ceratonia,7,433
A07XA03,calcium compounds,7,434
A07XA04,racecadotril,7,435
A07XA51,albumin tannate combinations,7,436
A08,antiobesity preparations excl diet products,3,455
A08A,antiobesity preparations excl diet products,4,455
A08AA,centrally acting antiobesity products,5,451
A08AA01,phentermine,7,440
A08AA02,fenfluramine,7,441
A08AA03,amfepramone,7,442
A08AA04,dexfenfluramine,7,443
A08AA05,mazindol,7,444
A08AA06,etilamfetamine,7,445
A08AA07,cathine,7,446
A08AA08,clobenzorex,7,447
A08AA09,mefenorex,7,448
A08AA10,sibutramine,7,449
A08AA11,lorcaserin,7,450
A08AA56,ephedrine combinations,7,451
A08AB,peripherally acting antiobesity products,5,453
A08AB01,orlistat,7,453
A08AX,other antiobesity drugs,5,455
A08AX01,rimonabant,7,455
A09,digestives incl enzymes,3,470
A09A,digestives incl enzymes,4,470
A09AA,enzyme preparations,5,462
A09AA01,diastase,7,459
A09AA02,multienzymes lipase protease etc,7,460
A09AA03,pepsin,7,461
A09AA04,tilactase,7,462
A09AB,acid preparations,5,467
A09AB01,glutamic acid hydrochloride,7,464
A09AB02,betaine hydrochloride,7,465
A09AB03,hydrochloric acid,7,466
A09AB04,citric acid,7,467
A09AC,enzyme and acid preparations combinations,5,470
A09AC01,pepsin and acid preparations,7,469
A09AC02,multienzymes and acid preparations,7,470
A10,drugs used in diabetes,3,573
A10A,insulins and analogues,4,504
A10AB,insulins and analogues for injection fastacting,5,480
A10AB01,insulin human,7,474
A10AB02,insulin beef,7,475
A10AB03,insulin pork,7,476
A10AB04,insulin lispro,7,477
A10AB05,insulin aspart,7,478
A10AB06,insulin glulisine,7,479
A10AB30,combinations,7,480
A10AC,insulins and analogues for injection intermediateacting,5,486
A10AC01,insulin human,7,482
A10AC02,insulin beef,7,483
A10AC03,insulin pork,7,484
A10AC04,insulin lispro,7,485
A10AC30,combinations,7,486
A10AD,insulins and analogues for injection intermediate or longacting combined with fastacting,5,494
A10AD01,insulin human,7,488
A10AD02,insulin beef,7,489
A10AD03,insulin pork,7,490
A10AD04,insulin lispro,7,491
A10AD05,insulin aspart,7,492
A10AD06,insulin degludec and insulin aspart,7,493
A10AD30,combinations,7,494
A10AE,insulins and analogues for injection longacting,5,502
A10AE01,insulin human,7,496
A10AE02,insulin beef,7,497
A10AE03,insulin pork,7,498
A10AE04,insulin glargine,7,499
A10AE05,insulin detemir,7,500
A10AE06,insulin degludec,7,501
A10AE30,combinations,7,502
A10AF,insulins and analogues for inhalation,5,504
A10AF01,insulin human,7,504
A10B,blood glucose lowering drugs excl insulins,4,570
A10BA,biguanides,5,509
A10BA01,phenformin,7,507
A10BA02,metformin,7,508
A10BA03,buformin,7,509
A10BB,sulfonamides urea derivatives,5,523
A10BB01,glibenclamide,7,511
A10BB02,chlorpropamide,7,512
A10BB03,tolbutamide,7,513
A10BB04,glibornuride,7,514
A10BB05,tolazamide,7,515
A10BB06,carbutamide,7,516
A10BB07,glipizide,7,517
A10BB08,gliquidone,7,518
A10BB09,gliclazide,7,519
A10BB10,metahexamide,7,520
A10BB11,glisoxepide,7,521
A10BB12,glimepiride,7,522
A10BB31,acetohexamide,7,523
A10BC,sulfonamides heterocyclic,5,525
A10BC01,glymidine,7,525
A10BD,combinations of oral blood glucose lowering drugs,5,541
A10BD01,phenformin and sulfonamides,7,527
A10BD02,metformin and sulfonamides,7,528
A10BD03,metformin and rosiglitazone,7,529
A10BD04,glimepiride and rosiglitazone,7,530
A10BD05,metformin and pioglitazone,7,531
A10BD06,glimepiride and pioglitazone,7,532
A10BD07,metformin and sitagliptin,7,533
A10BD08,metformin and vildagliptin,7,534
A10BD09,pioglitazone and alogliptin,7,535
A10BD10,metformin and saxagliptin,7,536
A10BD11,metformin and linagliptin,7,537
A10BD12,pioglitazone and sitagliptin,7,538
A10BD13,metformin and alogliptin,7,539
A10BD14,metformin and repaglinide,7,540
A10BD15,metformin and dapagliflozin,7,541
A10BF,alpha glucosidase inhibitors,5,545
A10BF01,acarbose,7,543
A10BF02,miglitol,7,544
A10BF03,voglibose,7,545
A10BG,thiazolidinediones,5,549
A10BG01,troglitazone,7,547
A10BG02,rosiglitazone,7,548
A10BG03,pioglitazone,7,549
A10BH,dipeptidyl peptidase 4 dpp4 inhibitors,5,557
A10BH01,sitagliptin,7,551
A10BH02,vildagliptin,7,552
A10BH03,saxagliptin,7,553
A10BH04,alogliptin,7,554
A10BH05,linagliptin,7,555
A10BH06,gemigliptin,7,556
A10BH51,sitagliptin and simvastatin,7,557
A10BX,other blood glucose lowering drugs excl insulins,5,570
A10BX01,guar gum,7,559
A10BX02,repaglinide,7,560
A10BX03,nateglinide,7,561
A10BX04,exenatide,7,562
A10BX05,pramlintide,7,563
A10BX06,benfluorex,7,564
A10BX07,liraglutide,7,565
A10BX08,mitiglinide,7,566
A10BX09,dapagliflozin,7,567
A10BX10,lixisenatide,7,568
A10BX11,canagliflozin,7,569
A10BX12,empagliflozin,7,570
A10X,other drugs used in diabetes,4,573
A10XA,aldose reductase inhibitors,5,573
A10XA01,tolrestat,7,573
A11,vitamins,3,630
A11A,multivitamins combinations,4,581
A11AA,multivitamins with minerals,5,580
A11AA01,multivitamins and iron,7,577
A11AA02,multivitamins and calcium,7,578
A11AA03,multivitamins and other minerals incl combinations,7,579
A11AA04,multivitamins and trace elements,7,580
A11AB,multivitamins other combinations,5,581
A11B,multivitamins plain,4,583
A11BA,multivitamins plain,5,583
A11C,vitamin a and d incl combinations of the two,4,596
A11CA,vitamin a plain,5,587
A11CA01,retinol vit a,7,586
A11CA02,betacarotene,7,587
A11CB,vitamin a and d in combination,5,588
A11CC,vitamin d and analogues,5,596
A11CC01,ergocalciferol,7,590
A11CC02,dihydrotachysterol,7,591
A11CC03,alfacalcidol,7,592
A11CC04,calcitriol,7,593
A11CC05,colecalciferol,7,594
A11CC06,calcifediol,7,595
A11CC20,combinations,7,596
A11D,vitamin b1 plain and in combination with vitamin b6 and b12,4,602
A11DA,vitamin b1 plain,5,601
A11DA01,thiamine vit b1,7,599
A11DA02,sulbutiamine,7,600
A11DA03,benfotiamine,7,601
A11DB,vitamin b1 in combination with vitamin b6 andor vitamin b12,5,602
A11E,vitamin bcomplex incl combinations,4,608
A11EA,vitamin bcomplex plain,5,604
A11EB,vitamin bcomplex with vitamin c,5,605
A11EC,vitamin bcomplex with minerals,5,606
A11ED,vitamin bcomplex with anabolic steroids,5,607
A11EX,vitamin bcomplex other combinations,5,608
A11G,ascorbic acid vitamin c incl combinations,4,613
A11GA,ascorbic acid vitamin c plain,5,611
A11GA01,ascorbic acid vit c,7,611
A11GB,ascorbic acid vitamin c combinations,5,613
A11GB01,ascorbic acid vit c and calcium,7,613
A11H,other plain vitamin preparations,4,626
A11HA,other plain vitamin preparations,5,626
A11HA01,nicotinamide,7,616
A11HA02,pyridoxine vit b6,7,617
A11HA03,tocopherol vit e,7,618
A11HA04,riboflavin vit b2,7,619
A11HA05,biotin,7,620
A11HA06,pyridoxal phosphate,7,621
A11HA07,inositol,7,622
A11HA08,tocofersolan,7,623
A11HA30,dexpanthenol,7,624
A11HA31,calcium pantothenate,7,625
A11HA32,pantethine,7,626
A11J,other vitamin products combinations,4,630
A11JA,combinations of vitamins,5,628
A11JB,vitamins with minerals,5,629
A11JC,vitamins other combinations,5,630
A12,mineral supplements,3,686
A12A,calcium,4,649
A12AA,calcium,5,648
A12AA01,calcium phosphate,7,634
A12AA02,calcium glubionate,7,635
A12AA03,calcium gluconate,7,636
A12AA04,calcium carbonate,7,637
A12AA05,calcium lactate,7,638
A12AA06,calcium lactate gluconate,7,639
A12AA07,calcium chloride,7,640
A12AA08,calcium glycerylphosphate,7,641
A12AA09,calcium citrate lysine complex,7,642
A12AA10,calcium glucoheptonate,7,643
A12AA11,calcium pangamate,7,644
A12AA12,calcium acetate anhydrous,7,645
A12AA13,calcium citrate,7,646
A12AA20,calcium different salts in combination,7,647
A12AA30,calcium laevulate,7,648
A12AX,calcium combinations with vitamin d andor other drugs,5,649
A12B,potassium,4,658
A12BA,potassium,5,658
A12BA01,potassium chloride,7,652
A12BA02,potassium citrate,7,653
A12BA03,potassium hydrogentartrate,7,654
A12BA04,potassium hydrogencarbonate,7,655
A12BA05,potassium gluconate,7,656
A12BA30,combinations,7,657
A12BA51,potassium chloride combinations,7,658
A12C,other mineral supplements,4,686
A12CA,sodium,5,662
A12CA01,sodium chloride,7,661
A12CA02,sodium sulfate,7,662
A12CB,zinc,5,666
A12CB01,zinc sulfate,7,664
A12CB02,zinc gluconate,7,665
A12CB03,zinc protein complex,7,666
A12CC,magnesium,5,678
A12CC01,magnesium chloride,7,668
A12CC02,magnesium sulfate,7,669
A12CC03,magnesium gluconate,7,670
A12CC04,magnesium citrate,7,671
A12CC05,magnesium aspartate,7,672
A12CC06,magnesium lactate,7,673
A12CC07,magnesium levulinate,7,674
A12CC08,magnesium pidolate,7,675
A12CC09,magnesium orotate,7,676
A12CC10,magnesium oxide,7,677
A12CC30,magnesium different salts in combination,7,678
A12CD,fluoride,5,682
A12CD01,sodium fluoride,7,680
A12CD02,sodium monofluorophosphate,7,681
A12CD51,fluoride combinations,7,682
A12CE,selenium,5,685
A12CE01,sodium selenate,7,684
A12CE02,sodium selenite,7,685
A12CX,other mineral products,5,686
A13,tonics,3,688
A13A,tonics,4,688
A14,anabolic agents for systemic use,3,705
A14A,anabolic steroids,4,704
A14AA,androstan derivatives,5,700
A14AA01,androstanolone,7,692
A14AA02,stanozolol,7,693
A14AA03,metandienone,7,694
A14AA04,metenolone,7,695
A14AA05,oxymetholone,7,696
A14AA06,quinbolone,7,697
A14AA07,prasterone,7,698
A14AA08,oxandrolone,7,699
A14AA09,norethandrolone,7,700
A14AB,estren derivatives,5,704
A14AB01,nandrolone,7,702
A14AB02,ethylestrenol,7,703
A14AB03,oxabolone cipionate,7,704
A14B,other anabolic agents,4,705
A15,appetite stimulants,3,706
A16,other alimentary tract and metabolism products,3,738
A16A,other alimentary tract and metabolism products,4,738
A16AA,amino acids and derivatives,5,715
A16AA01,levocarnitine,7,710
A16AA02,ademetionine,7,711
A16AA03,glutamine,7,712
A16AA04,mercaptamine,7,713
A16AA05,carglumic acid,7,714
A16AA06,betaine,7,715
A16AB,enzymes,5,727
A16AB01,alglucerase,7,717
A16AB02,imiglucerase,7,718
A16AB03,agalsidase alfa,7,719
A16AB04,agalsidase beta,7,720
A16AB05,laronidase,7,721
A16AB06,sacrosidase,7,722
A16AB07,alglucosidase alfa,7,723
A16AB08,galsulfase,7,724
A16AB09,idursulfase,7,725
A16AB10,velaglucerase alfa,7,726
A16AB11,taliglucerase alfa,7,727
A16AX,various alimentary tract and metabolism products,5,738
A16AX01,thioctic acid,7,729
A16AX02,anethole trithione,7,730
A16AX03,sodium phenylbutyrate,7,731
A16AX04,nitisinone,7,732
A16AX05,zinc acetate,7,733
A16AX06,miglustat,7,734
A16AX07,sapropterin,7,735
A16AX08,teduglutide,7,736
A16AX09,glycerol phenylbutyrate,7,737
A16AX10,eliglustat,7,738
B,blood and blood forming organs,1,1023
B01,antithrombotic agents,3,817
B01A,antithrombotic agents,4,817
B01AA,vitamin k antagonists,5,752
B01AA01,dicoumarol,7,743
B01AA02,phenindione,7,744
B01AA03,warfarin,7,745
B01AA04,phenprocoumon,7,746
B01AA07,acenocoumarol,7,747
B01AA08,ethyl biscoumacetate,7,748
B01AA09,clorindione,7,749
B01AA10,diphenadione,7,750
B01AA11,tioclomarol,7,751
B01AA12,fluindione,7,752
B01AB,heparin group,5,765
B01AB01,heparin,7,754
